,stage_duration_minutes,stage_variance_minutes,workload,quality_score,cost,quantity
stage_duration_minutes,1.0,0.9999999999999991,0.1408832169065873,-0.8024499912173265,0.8766424510818,0.14579643648542076
stage_variance_minutes,0.9999999999999991,1.0,0.1408832169065871,-0.802449991217326,0.876642451081799,0.1457964364854209
workload,0.1408832169065873,0.1408832169065871,1.0,-0.10068734731427989,0.243037583882605,0.9217662715434258
quality_score,-0.8024499912173265,-0.802449991217326,-0.10068734731427989,1.0,-0.7983435347397178,-0.10550938749075002
cost,0.8766424510818,0.876642451081799,0.243037583882605,-0.7983435347397178,1.0,0.25947139782289264
quantity,0.14579643648542076,0.1457964364854209,0.9217662715434258,-0.10550938749075002,0.25947139782289264,1.0
